Cost Type,Date,Cost Price,Total Cost Price,Index
סונול צומת השרון נתנ,,246.51,*High*,
קיי.אס.פי מחשבים-גמא,,229.0,*High*,
אושר עד נתניה,,209.7,*High*,
"מרפאת שיניים  ד""ר פי",,200.0,*High*,
PAYBOX,,200.0,*High*,
"איקאה ראשל""צ",,190.0,Medium,
פפי הקצב,,185.09,Medium,
איקאה נתניה,,155.0,Medium,
אייס פולג-צמרת,,132.52,Medium,
הפניקס חיים ובריאות,,126.18,Medium,
אופניים בגבעה,,120.0,Medium,
HOT,,113.57,Medium,
1 - ד.ל.ר. סרוסי אחז,,109.0,Medium,
GETT,,105.9,Medium,
משכן התכלת שיווק,,89.0,Low,
קיי אס פי מחשבים החש,,85.0,Low,
REBRAB EHT DIVAD,,80.0,Low,
תירס בוטיק פירות ויר,,77.5,Low,
מלנטה מתנות  והכל לב,,76.9,Low,
כל בו דוד,,75.0,Low,
פיצה טיים,,69.0,Low,
צומה,,68.0,Low,
ציקן סטיישן חשמונאים,,61.0,Low,
"סופר קופיקס בע""מ - ת",,59.61,Low,
פלפאל 4 טעמים,,56.0,Low,
מעוף שיכון ודיור,,50.0,Low,
סופר פארם ביג פולג 4,,48.8,Low,
פיצה טוביה,,44.0,Low,
קפה קפה - מחלף נתניה,,38.0,Low,
מרקט אקספרס,,33.8,Low,
אניפט - חנות חיות,,32.9,Low,
אייס סינרמה תל אביב-,,32.44,Low,
שפע ברכת  השם כהנמון,,30.4,Low,
פיס מרכז - לשם המזל,,30.0,Low,
קניון העיר תל אביב,,30.0,Low,
דרך ארץ הוראת קבע,,29.55,Low,
בי פרש סבידור,,29.0,Low,
פז YELLOW מודיעין הח,,28.9,Low,
פנגו-חניונים,,27.9,Low,
חשבון לשרותי סלקום,,25.13,Low,
דרימרי בייקרי קפה,,24.0,Low,
NEXT TV BY HOT,,21.72,Low,
ריבאר נט,,18.0,Low,
פיצה אש,,17.0,Low,
נאייקס ישראל מכונות,,17.0,Low,
פנגו חשבונית חודשית,,15.7,Low,
מרפיס פולג,,15.0,Low,
פלאפל חביב,,12.0,Low,
אורמה,,12.0,Low,
גוד פארם בני ברק,,10.16,Low,
מינימרקט שלי,,6.0,Low,
שופרסל דיל יכין,,4.9,Low,
חניון יכין אלכסנדרה,,4.0,Low,
קרן מכבי- חיוב,,0.83,Low,

Total Costs,,,11925.719999999998
